№;Alcohol;Malic and Apple Acid;Ash;Alcalinity of Ash;Magnesium;Total Phenols;Flavanoids;Nonflavanoid Phenols;Proanthocyanins;Color;Intensity;Hue;OD280_OD315_of_Deluted_Wines;Proline;Desired
21;14.14;2.19;2.27;17.36;108;3.86;2.71;0.35;2.73;Rosé;6.74;0.99;3.18;907;0
22;14.01;2.44;2.28;15.02;116;3.08;3.34;0.24;2.7;Red;6.25;1.05;3.21;903;0
23;13.85;2.1;2.46;12.87;105;3.43;3.19;0.27;2.37;Red;5.47;0.97;3.46;1100;0
24;14.17;2.44;2.8;19.42;121;3.85;3.09;0.37;2.24;Rosé;7.36;1.03;3.33;774;0
25;13.21;1.72;2.51;18.88;106;3.41;3.38;0.33;2.47;Rosé;5.7;0.94;3.46;1325;0
26;14.08;2.02;2.47;17.21;108;3.07;3.2;0.33;2.39;Red;6.24;0.9;3.82;1069;0
27;14.05;2.43;2.33;14.03;102;3.47;2.75;0.24;2.34;Rosé;6.09;0.89;3.7;1090;1
28;14.15;2.27;2.17;16.23;124;2.73;3.13;0.27;1.86;Rosé;5.45;1.01;3.46;828;0
29;13.75;2.35;2.84;19.38;111;3.59;2.94;0.31;2.36;White;6.65;0.93;3.6;1247;1
30;13.16;1.89;2.25;17.32;110;3.25;3.5;0.28;2.14;Red;6.02;0.89;3.9;816;0
31;13.61;1.89;2.21;18.92;117;3.87;3.25;0.32;2.37;White;7.43;1.01;3.12;780;1
32;13.55;2.27;2.37;14.99;116;3.05;3.31;0.39;2.65;Red;4.61;0.94;3.69;766;0
33;13.01;2.09;2.11;17.75;118;3.19;2.84;0.28;1.92;Red;5.58;1.0;3.79;1357;1
34;13.73;2.59;2.8;12.9;103;2.96;3.38;0.34;2.11;Rosé;6.32;1.04;3.72;793;1
35;14.1;1.92;2.79;18.84;109;3.75;3.31;0.36;1.89;Red;7.29;0.88;3.15;1338;0
36;13.46;2.1;2.81;17.03;122;2.72;2.74;0.26;2.2;White;7.55;0.96;3.14;1443;0
37;13.73;1.75;2.73;11.31;128;2.7;3.29;0.37;2.36;Rosé;5.33;0.97;3.29;1366;0
38;13.56;2.27;2.37;14.91;104;3.84;3.2;0.31;2.24;Red;4.49;1.05;3.2;915;1
39;14.16;2.07;2.45;19.52;125;3.68;3.16;0.36;1.96;White;6.36;0.91;3.17;1282;1
40;13.7;1.74;2.63;15.79;126;2.88;3.11;0.24;1.97;Red;6.2;0.94;3.35;897;0
41;14.21;2.19;2.88;20.9;106;3.16;3.17;0.33;2.44;Rosé;4.38;0.99;3.63;1309;0
42;13.71;1.78;2.46;17.91;109;3.51;3.36;0.26;2.51;Red;6.89;0.98;3.15;987;0
43;14.48;2.46;2.11;18.34;122;3.41;3.31;0.34;2.6;White;5.41;0.88;3.02;1041;1
44;13.31;1.98;2.3;20.0;111;2.89;2.91;0.3;2.52;Rosé;7.64;0.93;3.6;1109;1
45;13.59;2.31;2.39;14.98;107;3.06;3.12;0.24;2.53;White;7.24;0.92;3.65;1421;0
46;14.47;1.71;2.2;17.12;111;3.53;3.12;0.24;2.71;Red;7.02;0.99;3.04;1342;0
47;13.0;2.1;2.22;11.77;117;3.29;2.83;0.32;1.94;White;4.96;1.0;3.68;1053;1
48;13.97;2.09;2.51;17.17;106;3.62;3.11;0.27;1.89;White;5.1;0.98;3.58;882;1
49;13.61;2.5;2.9;20.6;129;3.37;3.01;0.29;2.58;Rosé;6.08;1.05;2.95;1466;0
50;13.26;1.78;2.46;20.24;130;3.35;3.34;0.3;2.27;White;5.46;1.05;3.27;1324;1
51;13.16;2.31;2.4;20.02;109;3.82;3.25;0.38;2.41;Rosé;5.96;1.02;3.45;1357;1
52;13.38;1.78;2.24;12.17;109;3.39;3.31;0.35;2.52;Red;7.1;0.92;3.28;845;1
53;13.01;1.71;2.23;11.89;102;3.26;3.07;0.38;2.41;Red;5.6;1.02;3.02;1043;1
54;14.31;2.35;2.62;14.6;114;3.53;3.08;0.39;2.31;White;5.5;0.99;3.05;1013;0
55;13.05;2.52;2.74;14.79;107;3.12;2.76;0.35;1.95;Rosé;5.96;0.99;3.06;926;0
56;13.76;2.26;2.53;16.22;109;3.75;2.92;0.34;2.58;Rosé;5.9;0.89;3.55;949;0
57;14.12;2.42;2.82;12.96;104;3.83;2.94;0.35;2.15;Red;5.97;1.02;3.43;1174;1
58;14.46;2.19;2.81;18.48;102;2.89;3.18;0.32;2.64;Red;6.91;0.93;2.94;1434;0
59;13.39;2.19;2.54;11.37;124;2.77;2.72;0.32;2.75;Rosé;5.86;0.87;3.18;1423;1
60;14.37;2.32;2.29;20.92;126;2.88;2.77;0.29;1.91;Rosé;6.56;0.87;3.65;1027;0
61;14.24;2.41;2.67;13.77;124;3.21;3.33;0.38;1.86;Rosé;6.31;0.98;3.69;1470;1
62;14.15;2.32;2.75;11.32;115;3.06;2.84;0.24;2.54;White;6.89;0.94;3.81;1413;1
63;13.11;1.71;2.76;12.79;120;3.7;2.83;0.37;2.28;Rosé;5.32;0.91;3.1;1059;0
64;13.07;2.4;2.28;15.39;108;3.14;3.29;0.25;2.46;White;6.41;0.97;3.0;782;0
65;13.09;2.6;2.22;16.19;103;2.95;3.0;0.39;1.85;Red;5.97;0.93;3.06;1133;0
66;13.64;1.88;2.52;19.12;127;3.33;2.88;0.32;2.78;White;7.56;0.93;3.38;994;0
67;13.04;2.1;2.86;12.98;113;3.46;3.08;0.36;2.38;White;6.8;0.93;3.47;1445;1
68;14.36;2.19;2.34;13.72;115;3.16;3.0;0.28;2.03;Red;5.75;0.92;3.37;830;1
69;13.44;2.4;2.62;19.47;125;3.35;2.89;0.34;2.52;White;7.42;1.0;3.19;1224;0
70;14.49;2.5;2.21;17.84;124;3.09;2.68;0.34;2.35;Red;4.4;1.03;3.77;743;0
71;14.12;2.4;2.46;19.46;102;3.72;2.91;0.35;2.28;Rosé;7.4;0.98;3.53;916;1
72;13.98;2.38;2.17;15.72;112;3.65;3.21;0.24;2.12;Rosé;7.24;0.99;3.55;1149;1
73;13.98;2.17;2.1;15.59;115;2.61;3.32;0.28;1.97;Rosé;5.05;0.93;3.46;1474;0
74;14.23;2.43;2.58;11.46;126;3.21;3.47;0.39;1.82;Red;7.2;0.87;3.62;1037;1
75;13.97;1.86;2.32;20.41;125;3.77;3.3;0.36;2.35;White;5.26;0.97;3.82;869;1
76;13.19;2.39;2.85;15.34;110;2.83;3.17;0.28;2.58;Rosé;5.82;0.99;3.26;1037;1
77;13.86;2.09;2.23;20.81;102;3.34;3.3;0.32;2.42;Red;7.52;0.88;3.57;1236;1
78;14.32;1.94;2.3;17.69;125;3.33;3.39;0.3;2.12;Red;7.01;0.96;3.59;1267;1
79;14.13;2.38;2.89;17.47;104;3.31;3.22;0.28;2.33;Red;5.91;0.96;3.34;1272;0
80;13.23;1.74;2.13;13.62;105;3.36;2.75;0.37;2.14;Rosé;6.99;1.0;3.7;941;1
81;14.39;1.88;2.44;14.0;102;3.45;3.0;0.36;2.58;Rosé;7.53;0.89;3.45;1408;0
82;13.16;2.4;2.37;18.02;122;2.64;2.92;0.28;1.95;Red;5.16;1.05;3.13;931;1
83;14.21;1.95;2.82;13.9;124;3.25;3.0;0.37;1.94;Rosé;5.46;0.9;3.08;1272;1
84;14.33;1.73;2.51;14.51;110;3.02;3.09;0.31;2.59;Rosé;5.47;0.99;2.99;897;1
85;13.47;1.83;2.2;12.07;120;3.2;2.84;0.35;2.32;Rosé;6.21;1.04;3.16;820;0
86;13.91;1.78;2.11;18.45;114;3.22;3.17;0.24;2.38;Red;4.62;0.95;3.32;1337;0
87;14.21;1.81;2.63;11.98;113;2.82;2.76;0.28;2.35;White;7.65;0.92;3.37;1171;0
88;13.58;2.01;2.84;16.74;117;3.05;2.97;0.27;1.94;Red;7.6;1.01;3.57;1024;1
89;13.47;1.75;2.55;17.88;114;2.62;3.32;0.36;2.68;Red;6.07;0.93;3.5;1023;0
90;13.85;1.98;2.83;13.25;124;3.71;3.29;0.36;2.48;Rosé;5.14;0.9;2.98;1001;1
91;13.2;2.24;2.75;14.88;123;3.89;3.21;0.24;2.39;Rosé;4.5;0.87;3.71;1119;0
92;13.79;2.46;2.2;12.52;113;2.66;3.29;0.24;2.45;Rosé;7.33;0.97;3.55;769;0
93;13.96;1.98;2.31;17.19;122;2.99;3.33;0.37;2.64;White;6.3;0.97;3.64;1051;1
94;13.77;2.2;2.33;12.12;111;3.72;3.33;0.35;2.15;Red;4.72;1.02;3.0;1221;0
95;13.25;2.23;2.12;13.4;115;2.74;2.99;0.36;1.89;Red;7.36;1.04;3.16;1318;1
96;14.26;2.59;2.7;13.07;127;3.08;3.31;0.33;2.48;Red;7.4;1.01;3.25;1249;1
97;13.58;1.97;2.43;13.45;124;3.11;3.2;0.34;2.8;Rosé;6.07;0.99;3.6;792;0
98;14.43;2.58;2.38;13.55;122;2.77;2.98;0.33;2.14;White;6.47;0.87;3.68;828;0
99;13.02;2.43;2.78;19.71;102;3.28;3.1;0.38;2.61;Rosé;6.13;0.91;3.88;1410;1
100;13.99;2.2;2.7;16.26;107;2.61;3.35;0.34;2.76;Red;7.6;0.86;3.55;1285;0
101;13.78;1.77;2.27;18.41;107;2.8;2.9;0.34;2.63;Red;6.83;0.99;3.89;1366;1
102;13.41;2.37;2.82;12.91;116;3.28;3.14;0.27;2.0;Rosé;5.92;0.92;3.75;1396;0
103;13.69;1.81;2.76;17.17;123;2.85;2.72;0.33;1.95;White;4.82;0.96;3.17;1165;1
104;13.36;2.1;2.1;11.97;127;2.83;2.9;0.39;2.67;Red;5.18;0.86;3.36;1068;0
105;13.33;1.84;2.52;15.65;112;3.08;2.83;0.29;2.22;White;5.2;0.92;3.8;887;0
106;13.2;1.87;2.17;12.55;121;2.94;3.19;0.36;2.76;Rosé;4.36;0.88;3.31;1083;0
107;13.12;1.77;2.11;17.36;104;3.32;2.78;0.27;2.41;Red;5.05;1.01;3.21;892;0
108;13.16;2.44;2.74;16.56;128;3.39;3.01;0.26;2.59;Red;6.29;0.88;3.49;962;1
109;14.31;1.78;2.59;20.88;109;3.74;3.18;0.31;1.83;White;6.59;0.88;3.52;1235;1
110;13.63;2.08;2.82;20.92;105;3.67;2.85;0.31;2.8;Red;5.98;0.93;3.92;1433;1
111;13.83;2.33;2.51;11.41;122;3.8;2.76;0.27;2.74;Red;7.45;1.05;3.04;907;0
112;13.32;1.72;2.58;19.01;113;3.5;3.28;0.32;2.07;White;7.35;1.04;3.72;1194;0
113;13.24;1.78;2.76;16.89;124;2.86;3.33;0.36;2.71;Red;5.62;0.87;3.47;1423;0
114;13.73;1.78;2.48;13.66;106;3.11;2.99;0.25;2.81;Red;6.47;0.92;3.11;981;1
115;13.3;1.82;2.41;15.39;126;3.26;3.4;0.26;2.54;Red;5.01;0.92;3.63;801;0
116;13.64;2.3;2.22;15.33;110;2.62;2.82;0.36;2.52;Rosé;6.78;1.02;3.8;938;0
117;13.45;1.96;2.59;14.31;119;3.76;2.72;0.34;2.28;Red;5.4;0.9;3.36;1048;1
118;13.18;1.85;2.77;17.03;108;2.66;2.92;0.28;1.93;Red;6.71;1.02;3.07;765;1
119;13.65;1.9;2.46;19.02;103;3.38;2.8;0.38;1.97;White;6.61;0.9;3.79;1147;0
120;13.57;2.05;2.54;15.69;112;2.78;2.65;0.27;2.51;White;7.1;0.97;3.28;1176;0
121;13.1;1.89;2.38;12.85;115;2.74;3.14;0.35;2.06;White;6.59;1.04;3.8;935;0
122;14.14;2.05;2.54;11.27;119;3.19;3.22;0.36;2.53;Red;6.16;1.01;3.57;787;1
123;13.37;2.18;2.81;14.11;109;3.26;2.84;0.39;2.7;Red;6.81;0.88;3.88;1470;0
124;13.07;1.82;2.38;18.24;105;2.97;3.11;0.36;2.48;White;6.93;0.96;3.63;1364;0
125;13.43;2.53;2.54;13.22;110;3.61;3.43;0.32;1.88;White;6.66;0.87;3.64;809;1
126;14.1;2.59;2.24;17.56;128;2.93;2.81;0.27;2.42;Red;7.46;0.99;3.92;1268;0
127;13.06;1.89;2.59;12.07;127;3.9;2.74;0.3;2.37;Red;7.67;0.95;3.61;1295;1
128;14.02;2.44;2.22;18.55;123;3.7;3.0;0.32;2.42;Red;5.06;0.93;3.07;1389;0
129;13.45;2.14;2.54;12.84;108;3.83;3.46;0.25;1.86;White;5.36;1.0;3.85;1188;1
130;13.89;2.14;2.28;11.81;122;3.64;2.67;0.25;2.25;Rosé;4.63;0.99;3.3;1116;0
131;13.66;1.84;2.45;11.93;127;2.87;3.32;0.27;2.13;Red;7.08;1.03;3.82;1438;1
132;13.01;1.85;2.41;11.5;113;3.07;3.32;0.26;2.56;Red;6.37;0.97;3.61;1373;1
133;14.36;1.96;2.63;13.68;127;3.7;3.2;0.38;2.01;White;7.03;0.89;3.88;1017;1
134;13.41;2.04;2.23;19.49;125;3.5;3.42;0.3;2.37;White;7.49;0.99;3.24;1232;1
135;13.47;2.2;2.15;11.44;119;3.18;3.28;0.33;1.91;White;5.7;0.93;3.87;860;0
136;13.99;1.89;2.13;14.73;115;3.64;3.37;0.32;2.03;White;6.06;1.04;3.61;1171;0
137;13.37;2.19;2.8;16.99;129;3.07;3.33;0.34;2.24;Red;6.79;0.95;3.71;1347;0
138;13.79;2.53;2.82;13.77;120;3.0;3.4;0.3;1.83;Red;6.3;1.01;3.08;1350;1
139;14.04;1.88;2.5;16.67;106;3.67;3.16;0.32;2.23;White;7.49;0.9;3.32;1323;1
140;13.7;1.98;2.31;14.77;119;3.23;3.04;0.31;2.72;Rosé;7.24;0.87;3.51;1431;0
141;14.35;2.08;2.14;18.42;111;3.34;3.02;0.37;2.39;Rosé;7.26;0.94;3.49;1146;0
142;14.44;1.77;2.62;13.51;106;2.9;3.37;0.24;2.37;Rosé;5.89;0.93;3.31;875;1
143;14.37;2.2;2.89;14.22;106;3.53;2.65;0.28;2.0;Rosé;6.21;0.87;3.52;816;1
144;14.35;1.93;2.18;14.75;115;3.24;2.9;0.3;2.13;Red;5.97;0.92;3.53;941;1
145;14.0;2.23;2.83;12.81;104;3.74;3.48;0.25;2.22;Rosé;6.68;0.95;2.93;1366;1
146;14.04;2.58;2.13;16.47;117;3.61;3.11;0.31;1.84;White;6.16;0.95;3.16;1058;0
147;14.4;2.51;2.42;12.78;111;3.82;2.83;0.25;2.65;Red;7.03;0.9;3.86;1321;0
148;13.84;2.3;2.68;19.0;105;3.23;3.4;0.37;2.6;White;7.14;0.94;3.84;1309;1
149;13.39;2.57;2.88;18.98;116;2.6;3.27;0.27;1.97;White;4.9;0.88;3.11;1063;0
150;13.31;1.81;2.11;17.38;104;3.53;3.34;0.26;2.52;Red;6.86;0.94;3.41;1384;1
151;13.94;1.87;2.63;17.51;114;3.73;3.19;0.24;2.49;Rosé;4.96;0.86;2.93;837;1
152;13.36;1.98;2.9;11.33;103;3.29;2.84;0.26;2.5;Rosé;5.01;0.93;3.15;888;0
153;14.23;1.95;2.5;16.17;108;3.19;3.34;0.32;2.02;Rosé;6.83;0.87;3.34;1159;0
154;13.97;2.55;2.43;14.68;118;3.56;3.28;0.36;1.81;White;5.2;1.01;3.36;987;1
155;13.17;1.84;2.46;11.86;107;2.88;2.72;0.29;2.49;White;7.63;0.87;3.11;1305;1
156;13.45;2.48;2.55;13.72;118;2.73;3.48;0.3;2.38;Red;6.31;0.99;3.3;854;0
157;13.53;2.55;2.12;11.86;118;3.86;3.46;0.28;1.82;Rosé;6.59;0.94;3.07;998;0
158;13.96;2.44;2.89;20.34;109;3.15;2.89;0.23;1.9;Red;7.47;0.92;3.34;814;0
159;13.4;2.19;2.28;19.68;106;2.7;2.83;0.35;2.42;Red;6.72;0.86;3.29;1324;0
160;13.08;1.91;2.26;19.49;130;3.39;3.18;0.28;2.59;Red;5.81;0.98;3.9;1385;0
161;13.31;2.6;2.73;15.46;127;3.52;2.79;0.25;2.2;Rosé;7.26;0.88;3.81;1213;1
162;13.26;2.25;2.21;18.75;104;2.71;3.4;0.35;1.89;White;7.51;1.0;3.17;903;0
163;13.03;2.28;2.54;14.49;104;3.64;3.03;0.3;2.42;White;4.9;1.0;3.62;1138;1
164;13.83;1.74;2.75;12.64;111;2.83;3.22;0.33;1.91;Rosé;7.34;0.92;3.45;1138;1
165;13.14;2.08;2.31;12.48;114;2.65;2.76;0.33;2.08;Red;5.61;0.93;3.59;1217;0
166;13.72;2.05;2.26;19.35;115;3.04;3.39;0.27;2.01;White;5.64;1.0;3.35;1367;0
167;14.36;2.11;2.17;20.85;114;3.53;2.89;0.33;2.47;Rosé;7.8;1.01;3.26;1252;0
168;14.29;2.27;2.16;19.52;109;2.62;3.05;0.26;2.01;Rosé;5.11;0.93;3.91;753;0
169;13.99;1.76;2.46;15.85;118;2.77;2.95;0.25;1.81;White;6.39;0.91;3.36;1373;0
170;13.14;2.39;2.43;13.29;106;3.17;3.16;0.29;1.96;Red;5.46;1.03;3.41;1123;1
171;14.14;2.23;2.13;14.48;116;3.4;3.13;0.38;2.11;Red;6.7;0.93;3.63;1186;1
172;14.2;2.58;2.71;19.21;109;3.56;3.42;0.32;2.19;Red;7.11;0.95;3.52;1102;0
173;13.12;2.24;2.89;18.08;125;3.84;2.95;0.3;1.89;White;5.49;0.9;2.99;1224;0
174;14.21;2.6;2.32;18.13;128;3.65;2.77;0.39;2.71;Rosé;7.23;0.98;2.94;797;0
175;14.31;2.38;2.16;15.25;106;3.13;3.49;0.31;2.79;Rosé;5.98;0.98;3.8;1067;0
176;13.14;2.54;2.41;14.18;109;2.72;3.12;0.36;2.17;Rosé;6.92;0.95;2.94;1357;0
177;13.62;2.56;2.56;14.45;123;3.33;3.27;0.37;2.37;Red;4.94;0.89;3.2;1216;0
178;13.96;1.93;2.17;13.06;124;3.5;2.79;0.3;2.78;White;6.97;1.04;3.11;1358;0
